time Hut Table
79.7865208333 26.98 29.53
80.7877307167 26.98 29.52
81.7881754667 26.98 29.54
82.7928386333 26.99 29.54
83.79327825 26.99 29.54
84.7939685167 26.99 29.55
85.79509135 27 29.55
86.7956271833 26.99 29.55
87.7972684833 26.98 29.55
88.7987417833 27 29.54
89.7995593333 27 29.55
90.80086815 26.99 29.55
91.8017136 26.99 29.55
92.8026670167 26.99 29.55
93.8035301333 26.98 29.55
94.8037347667 26.97 29.56
95.8053532667 26.99 29.55
96.8068438667 26.99 29.54
97.8081430333 27 29.54
98.80891295 26.99 29.54
99.8096554 26.99 29.55
100.8103155167 26.98 29.54
101.8107884333 26.97 29.55
102.8117504 26.99 29.56
103.8129841667 26.99 29.55
104.8139383833 26.99 29.55
105.81443675 26.99 29.55
106.8148493667 27 29.56
107.8152374333 27 29.55
108.8157301167 26.99 29.53
109.8172754833 27.01 29.55
110.8174734167 27.01 29.55
111.81769815 27.01 29.56
112.8206921667 27 29.56
113.8195386667 26.99 29.57
114.8199870667 27 29.57
115.8215875667 27.02 29.57
116.82213595 27.02 29.57
117.82306425 27.01 29.57
118.824405 27 29.58
119.82574505 27.02 29.58
120.8262724667 27 29.57
121.827865 27 29.56
122.8291313 27.01 29.57
123.8297481833 27.01 29.58
124.8298445333 27 29.57
125.830758 27.01 29.58
126.8313417667 27.01 29.57
127.8321294833 27.01 29.58
128.8334590833 26.99 29.58
129.8351103167 27.01 29.57
130.8351814833 27.01 29.57
131.83518525 27 29.58
132.8362161 27.01 29.59
133.5049928667 27.01 29.58
133.9762224167 27.01 29.57
134.9773430667 27.01 29.58
135.9789654833 27.01 29.58
136.9791149167 27.01 29.59
137.9794566167 27.02 29.59
138.9797460167 27.02 29.59
139.9803021167 27.03 29.59
140.9813862833 27.03 29.59
141.9815344833 27.01 29.59
142.9829915333 27.02 29.6
143.9842824833 27.02 29.6
144.9849067 27.01 29.6
145.9860149333 27.02 29.59
146.9867277333 27.02 29.61
147.98800405 27.04 29.62
148.9884055667 27.04 29.61
149.9894089 27.03 29.61
150.9902548167 27.03 29.61
151.9909807 27.04 29.59
152.99196375 27.03 29.59
153.9933774 27.02 29.6
154.9945012167 27.02 29.62
155.9952897667 27.03 29.62
156.9954177833 27.03 29.62
157.9955906333 27.03 29.62
158.9971726667 27.04 29.6
159.9978607667 27.04 29.61
160.9995037 27.03 29.59
162.0011388 27.03 29.61
163.0027264333 27.03 29.62
164.0043447 27.03 29.61
165.0055885833 27.04 29.62
166.0057153167 27.03 29.6
167.0061169833 27.03 29.61
168.0066942833 27.06 29.62
169.0076082333 27.05 29.61
170.0089672167 27.06 29.62
171.0102286167 27.04 29.62
172.0115106667 27.05 29.62
173.0123588833 27.05 29.63
174.0133766167 27.04 29.64
175.0148276333 27.06 29.62
176.0156603667 27.05 29.61
177.0163347 27.06 29.63
178.0173142667 27.05 29.61
179.0179938833 27.05 29.63
180.01875895 27.07 29.63
181.01877905 27.06 29.64
182.01970105 27.08 29.65
183.0200803167 27.07 29.63
184.0213776333 27.06 29.65
185.0219113833 27.07 29.65
186.0231416333 27.07 29.65
187.0236026 27.07 29.65
188.0248068 27.07 29.64
189.02621845 27.07 29.65
190.0266903667 27.07 29.67
191.0272402333 27.09 29.66
192.0272878333 27.09 29.63
193.0286833167 27.08 29.65
194.0295241 27.09 29.65
195.0297586 27.08 29.66
196.0306503833 27.09 29.66
197.0321906167 27.08 29.66
197.229517 27.08 29.65
197.6822237167 27.1 29.65
198.6831854333 27.09 29.65
199.6834266167 27.1 29.67
200.68403085 27.1 29.66
201.68417355 27.08 29.66
202.68496205 27.09 29.66
203.68503705 27.09 29.68
204.6857239667 27.11 29.65
205.6869549833 27.11 29.66
206.68792405 27.08 29.67
207.6889005333 27.09 29.68
208.6890631667 27.09 29.67
209.6899277167 27.08 29.67
210.6913332167 27.08 29.69
211.6917196333 27.08 29.67
212.6921321333 27.11 29.67
213.6935966667 27.12 29.68
214.6942978833 27.12 29.67
215.6949061333 27.12 29.67
216.6961386167 27.1 29.67
217.6978049167 27.1 29.68
218.6992243833 27.12 29.68
219.6994091167 27.11 29.67
220.6997140833 27.11 29.67
221.6999411 27.12 29.68
222.7012548 27.12 29.68
223.7013159167 27.12 29.68
224.7026688167 27.11 29.69
225.7042593167 27.1 29.69
226.70567995 27.1 29.69
227.7068796 27.12 29.68
228.70783605 27.11 29.7
229.7093079667 27.12 29.69
230.7109324333 27.13 29.7
231.7114611 27.12 29.69
232.71299365 27.11 29.7
233.71428795 27.11 29.7
234.7158812667 27.1 29.7
235.7167424667 27.1 29.7
236.7182144667 27.12 29.71
237.7194646 27.11 29.71
238.7204746667 27.11 29.7
239.7212654167 27.11 29.7
240.7228367333 27.12 29.7
241.7330451 27.13 29.7
242.75332645 27.13 29.7
243.7642901167 27.12 29.71
244.7644606833 27.12 29.7
245.7737020833 27.11 29.72
246.7738029 27.11 29.69
247.7778264167 27.11 29.71
