 value | value | time   
 27.53 | 28.25 | 2018-09-13 0 24 8.995457
 27.56 | 28.26 | 2018-09-13 0 25 9.050231
 27.54 | 28.27 | 2018-09-13 0 26 9.097249
 27.53 | 28.27 | 2018-09-13 0 27 9.171191
 27.59 | 28.28 | 2018-09-13 0 28 9.219195
 27.55 | 28.28 | 2018-09-13 0 29 9.289213
 27.56 | 28.28 | 2018-09-13 0 30 9.358609
 27.58 | 28.27 | 2018-09-13 0 31 9.415688
 27.6 | 28.27 | 2018-09-13 0 32 9.476602
 27.61 | 28.27 | 2018-09-13 0 33 9.549549
 27.59 | 28.28 | 2018-09-13 0 34 9.597083
 27.58 | 28.3 | 2018-09-13 0 35 9.668381
 27.57 | 28.29 | 2018-09-13 0 36 9.717814
 27.59 | 28.29 | 2018-09-13 0 37 9.769176
 27.63 | 28.29 | 2018-09-13 0 38 9.840927
 27.62 | 28.28 | 2018-09-13 0 39 9.909397
 27.66 | 28.28 | 2018-09-13 0 40 9.963651
 27.62 | 28.3 | 2018-09-13 0 41 10.018519
 27.57 | 28.31 | 2018-09-13 0 42 10.079828
 27.58 | 28.31 | 2018-09-13 0 43 10.125748
 27.62 | 28.31 | 2018-09-13 0 44 10.200925
 27.64 | 28.32 | 2018-09-13 0 45 10.265014
 27.63 | 28.3 | 2018-09-13 0 46 10.30865
 27.63 | 28.3 | 2018-09-13 0 47 10.379035
 27.59 | 28.31 | 2018-09-13 0 48 10.444653
 27.58 | 28.3 | 2018-09-13 0 49 10.497296
 27.62 | 28.31 | 2018-09-13 0 50 10.568278
 27.63 | 28.31 | 2018-09-13 0 51 10.621983
 27.6 | 28.32 | 2018-09-13 0 52 10.670284
 27.58 | 28.31 | 2018-09-13 0 53 10.738754
 27.62 | 28.32 | 2018-09-13 0 54 10.807944
 27.65 | 28.33 | 2018-09-13 0 55 10.861735
 27.58 | 28.33 | 2018-09-13 0 56 10.91412
 27.64 | 28.34 | 2018-09-13 0 57 10.982432
 27.6 | 28.34 | 2018-09-13 0 58 11.029845
 27.61 | 28.35 | 2018-09-13 0 59 11.092643
 27.61 | 28.34 | 2018-09-13 1 0 11.1569
 27.64 | 28.34 | 2018-09-13 1 1 11.206823
 27.65 | 28.34 | 2018-09-13 1 2 11.277236
 27.62 | 28.35 | 2018-09-13 1 3 11.341988
 27.64 | 28.35 | 2018-09-13 1 4 11.391838
 27.64 | 28.34 | 2018-09-13 1 5 11.451334
 27.59 | 28.35 | 2018-09-13 1 6 11.50122
 27.58 | 28.35 | 2018-09-13 1 7 11.55933
 27.63 | 28.36 | 2018-09-13 1 8 11.629936
 27.62 | 28.36 | 2018-09-13 1 9 11.697849
 27.65 | 28.37 | 2018-09-13 1 10 11.745832
 27.67 | 28.37 | 2018-09-13 1 11 11.796431
 27.61 | 28.36 | 2018-09-13 1 12 11.860163
 27.65 | 28.38 | 2018-09-13 1 13 11.906761
 27.6 | 28.36 | 2018-09-13 1 14 11.985235
 27.65 | 28.38 | 2018-09-13 1 15 12.053058
 27.63 | 28.35 | 2018-09-13 1 16 12.102314
 27.63 | 28.37 | 2018-09-13 1 17 12.166592
 27.63 | 28.39 | 2018-09-13 1 18 12.226658
 27.65 | 28.39 | 2018-09-13 1 19 12.274513
 27.65 | 28.39 | 2018-09-13 1 20 12.349895
 27.64 | 28.38 | 2018-09-13 1 21 12.398914
 27.66 | 28.39 | 2018-09-13 1 22 12.453981
 27.63 | 28.39 | 2018-09-13 1 23 12.535078
 27.61 | 28.39 | 2018-09-13 1 24 12.601239
 27.63 | 28.4 | 2018-09-13 1 25 12.653874
 27.67 | 28.39 | 2018-09-13 1 26 12.698659
 27.64 | 28.4 | 2018-09-13 1 27 12.762942
 27.61 | 28.41 | 2018-09-13 1 28 12.82181
 27.6 | 28.39 | 2018-09-13 1 29 12.889784
 27.63 | 28.41 | 2018-09-13 1 30 12.954105
 27.65 | 28.39 | 2018-09-13 1 31 13.003057
 27.67 | 28.39 | 2018-09-13 1 32 13.065294
 27.68 | 28.41 | 2018-09-13 1 33 13.13757
 27.64 | 28.41 | 2018-09-13 1 34 13.188865
 27.63 | 28.42 | 2018-09-13 1 35 13.262267
 27.59 | 28.42 | 2018-09-13 1 36 13.313786
 27.64 | 28.42 | 2018-09-13 1 37 13.362804
 27.66 | 28.43 | 2018-09-13 1 38 13.414042
 27.64 | 28.42 | 2018-09-13 1 39 13.489709
 27.61 | 28.44 | 2018-09-13 1 40 13.54292
 27.61 | 28.43 | 2018-09-13 1 41 13.597774
 27.62 | 28.41 | 2018-09-13 1 42 13.660319
 27.64 | 28.42 | 2018-09-13 1 43 13.718445
 27.66 | 28.43 | 2018-09-13 1 44 13.791836
 27.65 | 28.42 | 2018-09-13 1 45 13.860179
 27.67 | 28.43 | 2018-09-13 1 46 13.91246
 27.64 | 28.42 | 2018-09-13 1 47 13.988582
 27.58 | 28.43 | 2018-09-13 1 48 14.057628
 27.65 | 28.44 | 2018-09-13 1 49 14.110272
 27.64 | 28.45 | 2018-09-13 1 50 14.176453
 27.64 | 28.44 | 2018-09-13 1 51 14.227216
 27.61 | 28.45 | 2018-09-13 1 52 14.279575
 27.65 | 28.42 | 2018-09-13 1 53 14.349849
 27.68 | 28.43 | 2018-09-13 1 54 14.414328
 27.63 | 28.42 | 2018-09-13 1 55 14.472705
 27.69 | 28.45 | 2018-09-13 1 56 14.529426
 27.63 | 28.44 | 2018-09-13 1 57 14.593584
 27.64 | 28.46 | 2018-09-13 1 58 14.653268
 27.68 | 28.46 | 2018-09-13 1 59 14.734042
 27.73 | 28.44 | 2018-09-13 2 0 14.802623
 27.67 | 28.45 | 2018-09-13 2 1 14.855755
 27.65 | 28.45 | 2018-09-13 2 2 14.933187
 27.67 | 28.45 | 2018-09-13 2 3 15.002901
 27.68 | 28.47 | 2018-09-13 2 4 15.056832
 27.69 | 28.45 | 2018-09-13 2 5 15.126508
 27.68 | 28.47 | 2018-09-13 2 6 15.178229
 27.67 | 28.47 | 2018-09-13 2 7 15.234774
 27.64 | 28.47 | 2018-09-13 2 8 15.295998
 27.65 | 28.46 | 2018-09-13 2 9 15.366463
 27.69 | 28.45 | 2018-09-13 2 10 15.415839
 27.69 | 28.46 | 2018-09-13 2 11 15.464553
 27.68 | 28.46 | 2018-09-13 2 12 15.538896
 27.71 | 28.44 | 2018-09-13 2 13 15.587327
 27.7 | 28.47 | 2018-09-13 2 14 15.659851
 27.7 | 28.46 | 2018-09-13 2 15 15.730698
 27.66 | 28.47 | 2018-09-13 2 16 15.7787
 27.68 | 28.47 | 2018-09-13 2 17 15.848101
 27.67 | 28.48 | 2018-09-13 2 18 15.915508
 27.71 | 28.49 | 2018-09-13 2 19 15.972371
 27.69 | 28.5 | 2018-09-13 2 20 16.036032
 27.66 | 28.48 | 2018-09-13 2 21 16.084625
 27.68 | 28.48 | 2018-09-13 2 22 16.136414
 27.71 | 28.47 | 2018-09-13 2 23 16.197477
 27.64 | 28.47 | 2018-09-13 2 24 16.263622
 27.62 | 28.49 | 2018-09-13 2 25 16.312429
 27.62 | 28.48 | 2018-09-13 2 26 16.355647
 27.68 | 28.49 | 2018-09-13 2 27 16.418125
 27.65 | 28.49 | 2018-09-13 2 28 16.466938
 27.68 | 28.51 | 2018-09-13 2 29 16.542483
 27.71 | 28.51 | 2018-09-13 2 30 16.609203
 27.67 | 28.49 | 2018-09-13 2 31 16.664183
 27.66 | 28.47 | 2018-09-13 2 32 16.735642
 27.66 | 28.5 | 2018-09-13 2 33 16.797315
 27.68 | 28.49 | 2018-09-13 2 34 16.85905
 27.7 | 28.51 | 2018-09-13 2 35 16.930885
 27.68 | 28.52 | 2018-09-13 2 36 16.9752
 27.69 | 28.5 | 2018-09-13 2 37 17.039252
 27.65 | 28.52 | 2018-09-13 2 38 17.104296
 27.69 | 28.51 | 2018-09-13 2 39 17.161753
 27.7 | 28.5 | 2018-09-13 2 40 17.211928
 27.71 | 28.5 | 2018-09-13 2 41 17.261159
 27.69 | 28.52 | 2018-09-13 2 42 17.324063
 27.68 | 28.51 | 2018-09-13 2 43 17.384125
 27.68 | 28.51 | 2018-09-13 2 44 17.455666
 27.68 | 28.49 | 2018-09-13 2 45 17.531063
 27.67 | 28.51 | 2018-09-13 2 46 17.588137
 27.7 | 28.52 | 2018-09-13 2 47 17.657901
 27.68 | 28.53 | 2018-09-13 2 48 17.71734
 27.74 | 28.53 | 2018-09-13 2 49 17.769498
 27.71 | 28.54 | 2018-09-13 2 50 17.832056
 27.68 | 28.53 | 2018-09-13 2 51 17.880517
 27.68 | 28.51 | 2018-09-13 2 52 17.931726
 27.71 | 28.5 | 2018-09-13 2 53 18.005104
 27.69 | 28.54 | 2018-09-13 2 54 18.071134
 27.7 | 28.53 | 2018-09-13 2 55 18.11664
 27.76 | 28.56 | 2018-09-13 2 56 18.166839
 27.76 | 28.53 | 2018-09-13 2 57 18.235219
 27.77 | 28.53 | 2018-09-13 2 58 18.292858
 27.74 | 28.55 | 2018-09-13 2 59 18.368679
 27.75 | 28.55 | 2018-09-13 3 0 18.434962
 27.75 | 28.53 | 2018-09-13 3 1 18.493923
 27.72 | 28.52 | 2018-09-13 3 2 18.558095
 27.73 | 28.51 | 2018-09-13 3 3 18.620576
 27.75 | 28.53 | 2018-09-13 3 4 18.678721
 27.78 | 28.55 | 2018-09-13 3 5 18.735315
 27.75 | 28.55 | 2018-09-13 3 6 18.782486
 27.73 | 28.54 | 2018-09-13 3 7 18.837435
 27.68 | 28.54 | 2018-09-13 3 8 18.902554
 27.69 | 28.53 | 2018-09-13 3 9 18.970905
 27.67 | 28.55 | 2018-09-13 3 10 19.024034
 27.65 | 28.55 | 2018-09-13 3 11 19.074095
 27.66 | 28.55 | 2018-09-13 3 12 19.139027
 27.67 | 28.55 | 2018-09-13 3 13 19.190652
 27.69 | 28.54 | 2018-09-13 3 14 19.267995
 27.69 | 28.55 | 2018-09-13 3 15 19.332899
 27.72 | 28.57 | 2018-09-13 3 16 19.384467
 27.72 | 28.56 | 2018-09-13 3 17 19.449284
 27.7 | 28.56 | 2018-09-13 3 18 19.514017
 27.69 | 28.56 | 2018-09-13 3 19 19.574369
 27.71 | 28.56 | 2018-09-13 3 20 19.642771
 27.72 | 28.57 | 2018-09-13 3 21 19.695964
 27.74 | 28.56 | 2018-09-13 3 22 19.750077
 27.75 | 28.57 | 2018-09-13 3 23 19.81637
 27.75 | 28.56 | 2018-09-13 3 24 19.881915
 27.73 | 28.57 | 2018-09-13 3 25 19.943547
 27.74 | 28.59 | 2018-09-13 3 26 20.001084
 27.72 | 28.57 | 2018-09-13 3 27 20.05572
 27.73 | 28.56 | 2018-09-13 3 28 20.107961
 27.76 | 28.58 | 2018-09-13 3 29 20.182643
 27.7 | 28.57 | 2018-09-13 3 30 20.241614
 27.76 | 28.57 | 2018-09-13 3 31 20.301683
 27.72 | 28.58 | 2018-09-13 3 32 20.363871
 27.72 | 28.57 | 2018-09-13 3 33 20.431942
 27.71 | 28.56 | 2018-09-13 3 34 20.488464
 27.73 | 28.58 | 2018-09-13 3 35 20.552349
 27.73 | 28.59 | 2018-09-13 3 36 20.599863
 27.75 | 28.58 | 2018-09-13 3 37 20.65376
 27.67 | 28.58 | 2018-09-13 3 38 20.719595
 27.74 | 28.57 | 2018-09-13 3 39 20.777828
 27.77 | 28.57 | 2018-09-13 3 40 20.822948
 27.78 | 28.57 | 2018-09-13 3 41 20.879514
 27.75 | 28.59 | 2018-09-13 3 42 20.947018
 27.7 | 28.58 | 2018-09-13 3 43 21.009833
 27.72 | 28.58 | 2018-09-13 3 44 21.081771
 27.76 | 28.58 | 2018-09-13 3 45 21.147716
 27.82 | 28.58 | 2018-09-13 3 46 21.201447
 27.8 | 28.57 | 2018-09-13 3 47 21.274371
 27.8 | 28.6 | 2018-09-13 3 48 21.343379
 27.75 | 28.59 | 2018-09-13 3 49 21.399947
 27.72 | 28.6 | 2018-09-13 3 50 21.467998
 27.76 | 28.58 | 2018-09-13 3 51 21.522662
 27.79 | 28.59 | 2018-09-13 3 52 21.580106
 27.77 | 28.6 | 2018-09-13 3 53 21.658274
 27.76 | 28.6 | 2018-09-13 3 54 21.724799
 27.77 | 28.62 | 2018-09-13 3 55 21.768127
 27.74 | 28.6 | 2018-09-13 3 56 21.822118
 27.76 | 28.61 | 2018-09-13 3 57 21.889899
 27.75 | 28.61 | 2018-09-13 3 58 21.943461
 27.77 | 28.61 | 2018-09-13 3 59 22.020325
 27.78 | 28.61 | 2018-09-13 4 0 22.089079
 27.79 | 28.59 | 2018-09-13 4 1 22.142846
 27.76 | 28.59 | 2018-09-13 4 2 22.209859
 27.79 | 28.61 | 2018-09-13 4 3 22.279814
 27.76 | 28.6 | 2018-09-13 4 4 22.337658
 27.76 | 28.6 | 2018-09-13 4 5 22.402299
 27.76 | 28.61 | 2018-09-13 4 6 22.452532
 27.77 | 28.62 | 2018-09-13 4 7 22.510562
 27.76 | 28.61 | 2018-09-13 4 8 22.586401
 27.8 | 28.59 | 2018-09-13 4 9 22.648491
 27.8 | 28.59 | 2018-09-13 4 10 22.704876
 27.79 | 28.61 | 2018-09-13 4 11 22.756007
 27.73 | 28.6 | 2018-09-13 4 12 22.810476
 27.76 | 28.6 | 2018-09-13 4 13 22.864088
 27.78 | 28.62 | 2018-09-13 4 14 22.929143
 27.79 | 28.61 | 2018-09-13 4 15 22.990153
 27.76 | 28.6 | 2018-09-13 4 16 23.040319
 27.8 | 28.59 | 2018-09-13 4 17 23.107324
 27.8 | 28.62 | 2018-09-13 4 18 23.172185
 27.75 | 28.64 | 2018-09-13 4 19 23.232803
 27.76 | 28.61 | 2018-09-13 4 20 23.301688
 27.77 | 28.64 | 2018-09-13 4 21 23.348283
 27.81 | 28.63 | 2018-09-13 4 22 23.407774
 27.75 | 28.63 | 2018-09-13 4 23 23.474331
 27.79 | 28.63 | 2018-09-13 4 24 23.545299
 27.77 | 28.62 | 2018-09-13 4 25 23.595036
 27.77 | 28.61 | 2018-09-13 4 26 23.652035
 27.81 | 28.62 | 2018-09-13 4 27 23.715605
 27.81 | 28.6 | 2018-09-13 4 28 23.762977
 27.76 | 28.63 | 2018-09-13 4 29 23.83323
 27.74 | 28.63 | 2018-09-13 4 30 23.90395
 27.78 | 28.63 | 2018-09-13 4 31 23.954046
 27.77 | 28.64 | 2018-09-13 4 32 24.026718
 27.76 | 28.63 | 2018-09-13 4 33 24.088054
 27.74 | 28.61 | 2018-09-13 4 34 24.13826
 27.76 | 28.63 | 2018-09-13 4 35 24.202144
 27.81 | 28.64 | 2018-09-13 4 36 24.253921
 27.78 | 28.63 | 2018-09-13 4 37 24.308072
 27.75 | 28.63 | 2018-09-13 4 38 24.383901
 27.75 | 28.63 | 2018-09-13 4 39 24.447515
 27.76 | 28.64 | 2018-09-13 4 40 24.494285
 27.82 | 28.63 | 2018-09-13 4 41 24.541446
 27.83 | 28.63 | 2018-09-13 4 42 24.603969
 27.81 | 28.63 | 2018-09-13 4 43 24.660359
 27.77 | 28.63 | 2018-09-13 4 44 24.730621
 27.8 | 28.63 | 2018-09-13 4 45 24.789035
 27.78 | 28.63 | 2018-09-13 4 46 24.839686
 27.8 | 28.64 | 2018-09-13 4 47 24.906191
 27.81 | 28.64 | 2018-09-13 4 48 24.972255
 27.78 | 28.63 | 2018-09-13 4 49 25.019522
 27.81 | 28.63 | 2018-09-13 4 50 25.079916
 27.82 | 28.63 | 2018-09-13 4 51 25.124449
 27.84 | 28.63 | 2018-09-13 4 52 25.180069
 27.82 | 28.64 | 2018-09-13 4 53 25.25044
 27.81 | 28.64 | 2018-09-13 4 54 25.314626
 27.81 | 28.63 | 2018-09-13 4 55 25.367511
 27.79 | 28.67 | 2018-09-13 4 56 25.419412
 27.78 | 28.67 | 2018-09-13 4 57 25.481725
 27.78 | 28.65 | 2018-09-13 4 58 25.543979
 27.78 | 28.64 | 2018-09-13 4 59 25.620294
 27.77 | 28.65 | 2018-09-13 5 0 25.683875
 27.79 | 28.66 | 2018-09-13 5 1 25.733344
 27.82 | 28.68 | 2018-09-13 5 2 25.803057
 27.78 | 28.66 | 2018-09-13 5 3 25.863217
 27.81 | 28.67 | 2018-09-13 5 4 25.9238
 27.8 | 28.67 | 2018-09-13 5 5 25.983397
 27.82 | 28.65 | 2018-09-13 5 6 26.0338
 27.83 | 28.67 | 2018-09-13 5 7 26.096687
 27.86 | 28.67 | 2018-09-13 5 8 26.172496
 27.83 | 28.66 | 2018-09-13 5 9 26.234959
 27.84 | 28.66 | 2018-09-13 5 10 26.281137
 27.82 | 28.65 | 2018-09-13 5 11 26.337236
 27.77 | 28.67 | 2018-09-13 5 12 26.39966
 27.77 | 28.65 | 2018-09-13 5 13 26.456676
 27.78 | 28.65 | 2018-09-13 5 14 26.520248
 27.76 | 28.66 | 2018-09-13 5 15 26.584689
 27.77 | 28.67 | 2018-09-13 5 16 26.644225
 27.8 | 28.68 | 2018-09-13 5 17 26.71725
 27.78 | 28.64 | 2018-09-13 5 18 26.777956
 27.8 | 28.65 | 2018-09-13 5 19 26.836133
 27.78 | 28.65 | 2018-09-13 5 20 26.8993
 27.77 | 28.67 | 2018-09-13 5 21 26.953254
 27.8 | 28.68 | 2018-09-13 5 22 27.007143
 27.81 | 28.67 | 2018-09-13 5 23 27.076762
 27.82 | 28.67 | 2018-09-13 5 24 27.135835
 27.79 | 28.67 | 2018-09-13 5 25 27.190629
 27.78 | 28.67 | 2018-09-13 5 26 27.251308
 27.8 | 28.68 | 2018-09-13 5 27 27.30518
 27.78 | 28.67 | 2018-09-13 5 28 27.368641
 27.78 | 28.67 | 2018-09-13 5 29 27.439636
 27.77 | 28.68 | 2018-09-13 5 30 27.502264
 27.77 | 28.67 | 2018-09-13 5 31 27.559877
 27.8 | 28.66 | 2018-09-13 5 32 27.63648
 27.8 | 28.67 | 2018-09-13 5 33 27.698051
 27.8 | 28.69 | 2018-09-13 5 34 27.753676
 27.82 | 28.69 | 2018-09-13 5 35 27.818528
 27.79 | 28.68 | 2018-09-13 5 36 27.869107
 27.84 | 28.68 | 2018-09-13 5 37 27.918887
 27.82 | 28.68 | 2018-09-13 5 38 27.984989
 27.83 | 28.68 | 2018-09-13 5 39 28.046856
 27.84 | 28.66 | 2018-09-13 5 40 28.094346
 27.79 | 28.66 | 2018-09-13 5 41 28.154969
 27.84 | 28.67 | 2018-09-13 5 42 28.219234
 27.83 | 28.67 | 2018-09-13 5 43 28.279133
 27.81 | 28.68 | 2018-09-13 5 44 28.348772
 27.84 | 28.68 | 2018-09-13 5 45 28.409237
 27.83 | 28.7 | 2018-09-13 5 46 28.468184
 27.78 | 28.68 | 2018-09-13 5 47 28.544802
 27.79 | 28.68 | 2018-09-13 5 48 28.642504
 27.79 | 28.68 | 2018-09-13 5 49 28.7295
 27.79 | 28.68 | 2018-09-13 5 50 28.81732
 27.79 | 28.68 | 2018-09-13 5 51 28.911086
 27.79 | 28.68 | 2018-09-13 5 52 29.003375
 27.79 | 28.68 | 2018-09-13 5 53 29.091229
 27.79 | 28.68 | 2018-09-13 5 54 29.177134
 27.79 | 28.68 | 2018-09-13 5 55 29.266961
 27.79 | 28.68 | 2018-09-13 5 56 29.362727
 27.79 | 28.68 | 2018-09-13 5 57 29.451318
 27.79 | 28.68 | 2018-09-13 5 58 29.543692
 27.79 | 28.68 | 2018-09-13 5 59 29.636935
 27.79 | 28.68 | 2018-09-13 6 0 29.73247
 27.79 | 28.68 | 2018-09-13 6 1 29.816435
 27.79 | 28.68 | 2018-09-13 6 2 29.83149
 27.79 | 28.68 | 2018-09-13 6 3 29.918778
 27.79 | 28.68 | 2018-09-13 6 4 30.004931
 27.79 | 28.68 | 2018-09-13 6 5 30.098909
 27.79 | 28.68 | 2018-09-13 6 6 30.189795
 27.79 | 28.68 | 2018-09-13 6 7 30.272836
 27.79 | 28.68 | 2018-09-13 6 8 30.364063
 27.79 | 28.68 | 2018-09-13 6 9 30.45257
 27.79 | 28.68 | 2018-09-13 6 10 30.535102
 27.79 | 28.68 | 2018-09-13 6 11 30.634698
 27.79 | 28.68 | 2018-09-13 6 12 30.722571
 27.79 | 28.68 | 2018-09-13 6 13 30.812508
 27.79 | 28.68 | 2018-09-13 6 14 30.903442
 27.79 | 28.68 | 2018-09-13 6 15 30.996035
 27.79 | 28.68 | 2018-09-13 6 16 31.085095
 27.79 | 28.68 | 2018-09-13 6 17 31.176928
 27.79 | 28.68 | 2018-09-13 6 18 31.266
 27.79 | 28.68 | 2018-09-13 6 19 31.354346
 27.79 | 28.68 | 2018-09-13 6 20 31.439499
 27.79 | 28.68 | 2018-09-13 6 21 31.534126
 27.79 | 28.68 | 2018-09-13 6 22 31.631115
 27.79 | 28.68 | 2018-09-13 6 23 31.720246
 27.79 | 28.68 | 2018-09-13 6 24 31.817117
 27.79 | 28.68 | 2018-09-13 6 25 31.914465
 27.79 | 28.68 | 2018-09-13 6 26 32.001593
 27.79 | 28.68 | 2018-09-13 6 27 32.085993
 27.79 | 28.68 | 2018-09-13 6 28 32.177601
 27.79 | 28.68 | 2018-09-13 6 29 32.267542
 27.79 | 28.68 | 2018-09-13 6 30 32.351609
 27.79 | 28.68 | 2018-09-13 6 31 32.443499
 27.79 | 28.68 | 2018-09-13 6 32 32.54155
 27.79 | 28.68 | 2018-09-13 6 33 32.635777
 27.79 | 28.68 | 2018-09-13 6 34 32.7302
 27.79 | 28.68 | 2018-09-13 6 35 32.814236
 27.79 | 28.68 | 2018-09-13 6 36 32.905735
 27.79 | 28.68 | 2018-09-13 6 37 32.99366
 27.79 | 28.68 | 2018-09-13 6 38 33.077153
 27.79 | 28.68 | 2018-09-13 6 39 33.167921
 27.79 | 28.68 | 2018-09-13 6 40 33.261124
 27.79 | 28.68 | 2018-09-13 6 41 33.350942
 27.79 | 28.68 | 2018-09-13 6 42 33.44021
 27.79 | 28.68 | 2018-09-13 6 43 33.526968
 27.79 | 28.68 | 2018-09-13 6 44 33.617004
 27.79 | 28.68 | 2018-09-13 6 45 33.700457
 27.79 | 28.68 | 2018-09-13 6 46 33.794678
 27.79 | 28.68 | 2018-09-13 6 47 33.891311
 27.79 | 28.68 | 2018-09-13 6 48 33.976916
 27.79 | 28.68 | 2018-09-13 6 49 34.065659
 27.79 | 28.68 | 2018-09-13 6 50 34.159116
 27.79 | 28.68 | 2018-09-13 6 51 34.244984
 27.79 | 28.68 | 2018-09-13 6 52 34.333865
 27.79 | 28.68 | 2018-09-13 6 53 34.421834
 27.79 | 28.68 | 2018-09-13 6 54 34.51264
 27.79 | 28.68 | 2018-09-13 6 55 34.594536
 27.79 | 28.68 | 2018-09-13 6 56 34.681144
 27.79 | 28.68 | 2018-09-13 6 57 34.773716
 27.79 | 28.68 | 2018-09-13 6 58 34.860729
 27.79 | 28.68 | 2018-09-13 6 59 34.949102
 27.79 | 28.68 | 2018-09-13 7 0 35.032674
 27.79 | 28.68 | 2018-09-13 7 1 35.125649
 27.79 | 28.68 | 2018-09-13 7 2 35.215697
 27.79 | 28.68 | 2018-09-13 7 3 35.308986
 27.79 | 28.68 | 2018-09-13 7 4 35.394884
 27.79 | 28.68 | 2018-09-13 7 5 35.480238
 27.79 | 28.68 | 2018-09-13 7 6 35.569609
 27.79 | 28.68 | 2018-09-13 7 7 35.655946
 27.79 | 28.68 | 2018-09-13 7 8 35.739808
 27.79 | 28.68 | 2018-09-13 7 9 35.83157
 27.79 | 28.68 | 2018-09-13 7 10 35.91822
 27.79 | 28.68 | 2018-09-13 7 11 36.006453
 27.79 | 28.68 | 2018-09-13 7 12 36.090043
 27.79 | 28.68 | 2018-09-13 7 13 36.178898
 27.79 | 28.68 | 2018-09-13 7 14 36.271689
 27.79 | 28.68 | 2018-09-13 7 15 36.360032
 27.79 | 28.68 | 2018-09-13 7 16 36.449702
 27.79 | 28.68 | 2018-09-13 7 17 36.534248
 27.79 | 28.68 | 2018-09-13 7 18 36.631642
 27.79 | 28.68 | 2018-09-13 7 19 36.721059
 27.79 | 28.68 | 2018-09-13 7 20 36.80815
 27.79 | 28.68 | 2018-09-13 7 21 36.897038
 27.79 | 28.68 | 2018-09-13 7 22 36.988695
 27.79 | 28.68 | 2018-09-13 7 23 37.078569
 27.79 | 28.68 | 2018-09-13 7 24 37.163636
 27.79 | 28.68 | 2018-09-13 7 25 37.252869
 27.79 | 28.68 | 2018-09-13 7 26 37.340252
 27.79 | 28.68 | 2018-09-13 7 27 37.426465
 27.79 | 28.68 | 2018-09-13 7 28 37.515456
 27.79 | 28.68 | 2018-09-13 7 29 37.606226
 27.79 | 28.68 | 2018-09-13 7 30 37.69779
 27.79 | 28.68 | 2018-09-13 7 31 37.786472
 27.79 | 28.68 | 2018-09-13 7 32 37.87522
 27.79 | 28.68 | 2018-09-13 7 33 37.962184
 27.79 | 28.68 | 2018-09-13 7 34 38.053192
 27.79 | 28.68 | 2018-09-13 7 35 38.141626
 27.79 | 28.68 | 2018-09-13 7 36 38.227011
 27.79 | 28.68 | 2018-09-13 7 37 38.315489
 27.79 | 28.68 | 2018-09-13 7 38 38.405135
 27.79 | 28.68 | 2018-09-13 7 39 38.495302
 27.79 | 28.68 | 2018-09-13 7 40 38.588049
 27.79 | 28.68 | 2018-09-13 7 41 38.675645
 27.79 | 28.68 | 2018-09-13 7 42 38.767908
 27.79 | 28.68 | 2018-09-13 7 43 38.862351
 27.79 | 28.68 | 2018-09-13 7 44 38.961857
 27.79 | 28.68 | 2018-09-13 7 45 39.049798
 27.79 | 28.68 | 2018-09-13 7 46 39.134199
 27.79 | 28.68 | 2018-09-13 7 47 39.223303
 27.79 | 28.68 | 2018-09-13 7 48 39.316998
 27.79 | 28.68 | 2018-09-13 7 49 39.407509
 27.79 | 28.68 | 2018-09-13 7 50 39.501506
 27.79 | 28.68 | 2018-09-13 7 51 39.592149
 27.79 | 28.68 | 2018-09-13 7 52 39.679254
 27.79 | 28.68 | 2018-09-13 7 53 39.76862
 27.79 | 28.68 | 2018-09-13 7 54 39.851394
 27.79 | 28.68 | 2018-09-13 7 55 39.938688
 27.79 | 28.68 | 2018-09-13 7 56 40.031437
 27.79 | 28.68 | 2018-09-13 7 57 40.117299
 27.79 | 28.68 | 2018-09-13 7 58 40.204743
 27.79 | 28.68 | 2018-09-13 7 59 40.293068
 27.79 | 28.68 | 2018-09-13 8 0 40.387266
 27.79 | 28.68 | 2018-09-13 8 1 40.476273
 27.79 | 28.68 | 2018-09-13 8 2 40.565466
 27.79 | 28.68 | 2018-09-13 8 3 40.653059
 27.79 | 28.68 | 2018-09-13 8 4 40.737641
 27.79 | 28.68 | 2018-09-13 8 5 40.826274
 27.79 | 28.68 | 2018-09-13 8 6 40.910353
 27.79 | 28.68 | 2018-09-13 8 7 41.003721
 27.79 | 28.68 | 2018-09-13 8 8 41.099579
 27.79 | 28.68 | 2018-09-13 8 9 41.190743
 27.79 | 28.68 | 2018-09-13 8 10 41.277243
 27.79 | 28.68 | 2018-09-13 8 11 41.361787
 27.79 | 28.68 | 2018-09-13 8 12 41.448688
 27.79 | 28.68 | 2018-09-13 8 13 41.537134
 27.79 | 28.68 | 2018-09-13 8 14 41.63095
 27.79 | 28.68 | 2018-09-13 8 15 41.716162
 27.79 | 28.68 | 2018-09-13 8 16 41.80597
 27.79 | 28.68 | 2018-09-13 8 17 41.904394
 27.79 | 28.68 | 2018-09-13 8 18 42.004689
 27.79 | 28.68 | 2018-09-13 8 19 42.08976
 27.79 | 28.68 | 2018-09-13 8 20 42.181845
 27.79 | 28.68 | 2018-09-13 8 21 42.269806
 27.79 | 28.68 | 2018-09-13 8 22 42.356191
 27.79 | 28.68 | 2018-09-13 8 23 42.448186
 27.79 | 28.68 | 2018-09-13 8 24 42.530566
 27.79 | 28.68 | 2018-09-13 8 25 42.620055
