 value | value | time   
 27.39 | 28.35 | 2018-09-12 10 56 17.394706
 27.39 | 28.36 | 2018-09-12 10 57 17.452982
 27.4 | 28.37 | 2018-09-12 10 58 17.511671
 27.42 | 28.33 | 2018-09-12 10 59 17.573197
 27.42 | 28.34 | 2018-09-12 11 0 17.638293
 27.38 | 28.34 | 2018-09-12 11 1 17.690535
 27.36 | 28.33 | 2018-09-12 11 2 17.758242
 27.36 | 28.33 | 2018-09-12 11 3 17.819931
 27.44 | 28.34 | 2018-09-12 11 4 17.875355
 27.37 | 28.35 | 2018-09-12 11 5 17.939512
 27.35 | 28.34 | 2018-09-12 11 6 17.995646
 27.35 | 28.34 | 2018-09-12 11 6 31.579103
 27.37 | 28.34 | 2018-09-12 11 7 31.641983
 27.37 | 28.34 | 2018-09-12 11 8 31.700256
 27.37 | 28.31 | 2018-09-12 11 9 31.753969
 27.4 | 28.32 | 2018-09-12 11 9 56.498722
 27.36 | 28.33 | 2018-09-12 11 10 56.565033
 27.37 | 28.34 | 2018-09-12 11 11 56.630742
 27.35 | 28.32 | 2018-09-12 11 12 56.685647
 27.32 | 28.34 | 2018-09-12 11 13 56.751898
 27.31 | 28.35 | 2018-09-12 11 14 56.819728
 27.31 | 28.33 | 2018-09-12 11 15 56.873307
 27.3 | 28.32 | 2018-09-12 11 16 56.9372
 27.32 | 28.32 | 2018-09-12 11 17 57.006914
 27.32 | 28.31 | 2018-09-12 11 18 57.062512
 27.32 | 28.33 | 2018-09-12 11 19 57.126408
 27.3 | 28.33 | 2018-09-12 11 20 57.181231
 27.29 | 28.31 | 2018-09-12 11 21 57.232042
 27.26 | 28.3 | 2018-09-12 11 22 57.292057
 27.32 | 28.3 | 2018-09-12 11 23 57.358868
 27.33 | 28.31 | 2018-09-12 11 24 57.410613
 27.28 | 28.29 | 2018-09-12 11 25 57.471079
 27.3 | 28.31 | 2018-09-12 11 26 57.531366
 27.3 | 28.31 | 2018-09-12 11 27 57.58359
 27.3 | 28.32 | 2018-09-12 11 28 57.640909
 27.27 | 28.31 | 2018-09-12 11 29 57.699499
 27.24 | 28.33 | 2018-09-12 11 30 57.752308
 27.24 | 28.31 | 2018-09-12 11 31 57.810348
 27.3 | 28.3 | 2018-09-12 11 32 57.866086
 27.29 | 28.32 | 2018-09-12 11 33 57.919899
 27.24 | 28.3 | 2018-09-12 11 34 57.977397
 27.23 | 28.29 | 2018-09-12 11 35 58.040238
 27.27 | 28.29 | 2018-09-12 11 36 58.095082
 27.26 | 28.27 | 2018-09-12 11 37 58.111728
 27.25 | 28.27 | 2018-09-12 11 38 58.141341
 27.25 | 28.27 | 2018-09-12 11 39 11.524357
 27.22 | 28.26 | 2018-09-12 11 40 11.568138
 27.19 | 28.26 | 2018-09-12 11 41 11.626287
 27.18 | 28.28 | 2018-09-12 11 42 11.689166
 27.2 | 28.26 | 2018-09-12 11 43 11.735375
 27.17 | 28.29 | 2018-09-12 11 44 11.800272
 27.26 | 28.27 | 2018-09-12 11 45 11.860114
 27.23 | 28.26 | 2018-09-12 11 46 11.910068
 27.23 | 28.27 | 2018-09-12 11 47 11.975467
 27.19 | 28.27 | 2018-09-12 11 48 12.03527
 27.23 | 28.28 | 2018-09-12 11 49 12.088116
 27.18 | 28.28 | 2018-09-12 11 50 12.142601
 27.21 | 28.27 | 2018-09-12 11 51 12.195943
 27.22 | 28.26 | 2018-09-12 11 52 12.223531
 27.24 | 28.25 | 2018-09-12 11 53 12.263949
 27.24 | 28.23 | 2018-09-12 11 54 12.311672
 27.22 | 28.23 | 2018-09-12 11 55 12.365759
 27.25 | 28.24 | 2018-09-12 11 56 12.423225
 27.21 | 28.22 | 2018-09-12 11 57 12.483624
 27.18 | 28.23 | 2018-09-12 11 58 12.527878
 27.18 | 28.22 | 2018-09-12 11 59 12.585461
 27.19 | 28.21 | 2018-09-12 12 0 12.649767
 27.19 | 28.25 | 2018-09-12 12 1 12.701512
 27.2 | 28.23 | 2018-09-12 12 2 12.767762
 27.2 | 28.22 | 2018-09-12 12 3 12.836666
 27.16 | 28.24 | 2018-09-12 12 4 12.887082
 27.18 | 28.24 | 2018-09-12 12 5 12.940708
 27.22 | 28.24 | 2018-09-12 12 6 12.992167
 27.22 | 28.22 | 2018-09-12 12 7 13.04894
 27.19 | 28.22 | 2018-09-12 12 8 13.117553
 27.15 | 28.23 | 2018-09-12 12 9 13.183526
 27.15 | 28.21 | 2018-09-12 12 10 13.237012
 27.13 | 28.21 | 2018-09-12 12 11 13.298396
 27.1 | 28.18 | 2018-09-12 12 12 13.360661
 27.16 | 28.19 | 2018-09-12 12 13 13.4128
 27.1 | 28.19 | 2018-09-12 12 14 13.474177
 27.11 | 28.19 | 2018-09-12 12 15 13.529454
 27.1 | 28.2 | 2018-09-12 12 16 13.578401
 27.13 | 28.19 | 2018-09-12 12 17 13.646726
 27.07 | 28.2 | 2018-09-12 12 18 13.71327
 27.09 | 28.2 | 2018-09-12 12 19 13.765248
 27.09 | 28.21 | 2018-09-12 12 20 13.827919
 27.08 | 28.19 | 2018-09-12 12 21 13.893851
 27.1 | 28.2 | 2018-09-12 12 22 13.946877
 27.1 | 28.17 | 2018-09-12 12 23 14.00794
 27.06 | 28.19 | 2018-09-12 12 24 14.069879
 27.11 | 28.17 | 2018-09-12 12 25 14.118899
 27.1 | 28.17 | 2018-09-12 12 26 14.181192
 27.12 | 28.15 | 2018-09-12 12 27 14.242659
 27.13 | 28.14 | 2018-09-12 12 28 14.299702
 27.08 | 28.15 | 2018-09-12 12 29 14.363631
 27.09 | 28.16 | 2018-09-12 12 30 14.428638
 27.1 | 28.16 | 2018-09-12 12 31 14.485366
 27.06 | 28.16 | 2018-09-12 12 32 14.539088
 27.02 | 28.16 | 2018-09-12 12 33 14.602031
 27.07 | 28.15 | 2018-09-12 12 34 14.664597
 27.05 | 28.14 | 2018-09-12 12 35 14.726314
 27.06 | 28.14 | 2018-09-12 12 36 14.779273
 27.07 | 28.15 | 2018-09-12 12 37 14.834113
 27.04 | 28.14 | 2018-09-12 12 38 14.901811
 27.04 | 28.16 | 2018-09-12 12 39 14.9623
 27.01 | 28.13 | 2018-09-12 12 40 15.020453
 27.04 | 28.15 | 2018-09-12 12 41 15.085861
 27.02 | 28.15 | 2018-09-12 12 42 15.14765
 27.02 | 28.14 | 2018-09-12 12 43 15.207151
 27 | 28.13 | 2018-09-12 12 44 15.278079
 26.99 | 28.15 | 2018-09-12 12 45 15.338896
